iter	Passed	Remaining
535	54050	97210
536	54899	98451
537	55384	99033
538	55471	98901
539	55536	98730
540	55628	98609
541	55726	98498
542	55808	98358
543	55885	98210
544	55951	98043
545	56022	97885
546	56103	97745
547	56163	97569
548	56239	97420
549	56312	97266
550	56374	97095
551	56449	96945
552	56515	96782
553	56588	96629
554	56662	96479
555	56720	96302
556	56801	96164
557	56859	95988
558	57038	96016
559	57110	95863
560	57182	95711
561	57257	95564
562	57329	95413
563	57416	95287
564	57501	95157
565	57613	95071
566	57690	94929
567	57756	94769
568	57832	94625
569	57909	94483
570	57998	94361
571	58079	94226
572	58160	94092
573	58225	93932
574	58292	93775
575	58520	93877
576	59188	94680
577	59875	95511
578	59963	95381
579	60036	95230
580	60098	95060
581	60170	94908
582	60240	94752
583	60326	94621
584	60423	94507
585	60497	94358
586	60568	94206
587	60629	94037
588	60706	93894
589	60783	93751
590	60860	93607
591	60935	93462
592	61007	93312
593	61078	93160
594	61150	93011
595	61220	92857
596	61291	92707
597	61362	92557
598	62084	93386
599	62812	94219
600	62939	94147
601	63020	94007
602	63092	93854
603	63166	93704
604	63245	93561
605	63319	93412
606	63381	93244
607	63510	93177
608	63623	93084
609	63709	92952
610	63778	92796
611	63858	92656
612	63939	92519
613	64026	92390
614	64102	92245
615	64183	92107
616	64260	91964
617	64337	91821
618	65035	92562
619	65959	93619
620	66036	93471
621	66115	93326
622	66194	93182
623	66273	93038
624	66371	92920
625	66461	92791
626	66553	92665
627	66621	92506
628	66693	92352
629	66765	92199
630	66855	92072
631	66933	91927
632	67020	91796
633	67088	91638
634	67167	91496
635	67227	91328
636	67312	91194
637	67375	91031
638	68172	91857
639	68882	92561
640	68962	92415
641	69027	92251
642	69107	92106
643	69183	91958
644	69261	91811
645	69338	91664
646	69427	91533
647	69512	91395
648	69595	91256
649	69674	91113
650	69761	90979
651	69845	90842
652	69926	90701
653	69997	90547
654	70059	90381
655	70126	90224
656	70208	90084
657	70304	89963
658	70385	89824
659	71902	91511
660	71991	91377
661	72080	91243
662	72153	91089
663	72237	90949
664	72313	90799
665	72402	90666
666	72496	90539
667	72571	90388
668	72650	90242
669	72722	90089
670	72808	89952
671	72888	89809
672	72970	89667
673	73046	89520
674	73120	89369
675	73196	89222
676	73283	89088
677	73369	88952
678	73924	89384
679	74668	90040
680	74950	90138
681	75028	89990
682	75110	89847
683	75188	89698
684	75262	89546
685	75355	89416
686	75430	89264
687	75494	89101
688	75576	88959
689	75655	88813
690	75723	88653
691	75807	88515
692	75894	88378
693	75973	88233
694	76046	88083
695	76133	87947
696	76218	87810
697	76302	87671
698	76386	87532
699	77155	88177
700	77826	88706
701	77984	88649
702	78051	88487
703	78136	88348
704	78206	88190
705	78272	88029
706	78336	87865
707	78426	87731
708	78514	87595
709	78594	87450
710	78682	87314
711	78747	87153
